6.6249,6.1151,5.7835,80,75,50,1.8583,4
1.983,1.9322,1.9066,170,190,110,0.56624,5
0.91203,0.912,0.861,50,2.5,37.5,0.33013,3
3.8451,3.4366,3.2835,50,2.5,15,0.92304,2
6.7271,5.8594,5.0945,50,52.5,47.5,1.1604,5
2.4676,2.238,2.187,57.5,32.5,102.5,0.57801,5
6.1143,5.7573,5.7063,50,52.5,62.5,1.4761,4
2.8501,2.4675,2.3911,115,112.5,127.5,0.70233,1
1.167,1.1669,1.116,100,130,70,0.35624,2
4.0742,3.3854,3.36,42.5,50,22.5,0.68956,3
6.2164,4.3291,4.1509,50,80,45,1.2304,4
3.5137,3.3601,3.2839,50,52.5,92.5,0.92701,1
4.4313,4.4059,4.0995,70,32.5,120,1.0277,2
5.1964,4.4057,3.9979,110,82.5,62.5,1.1748,2
1.2946,1.1926,1.0906,50,42.5,105,0.34841,4
3.9467,3.8447,3.7681,75,90,102.5,1.0274,4
0.93755,0.88649,0.86101,50,35,100,0.33896,2
2.0598,1.9065,1.8301,62.5,165,215,0.50443,3
4.3805,4.355,4.3547,82.5,60,130,1.1381,2
3.9466,3.7939,3.5132,50,87.5,37.5,0.98713,1
1.83,1.728,1.728,42.5,170,50,0.44051,3
4.8905,4.7627,4.0236,57.5,50,55,1.0767,5
4.0748,4.0747,4.0496,55,42.5,47.5,1.1317,1
6.778,6.7777,6.1656,45,42.5,40,1.5266,5
5.0689,4.5589,4.355,195,230,205,1.3001,2
3.2073,2.9521,2.9521,122.5,127.5,117.5,0.67957,4
4.508,4.2276,4.151,80,45,95,1.1792,1
4.381,4.1764,3.9219,232.5,242.5,72.5,1.0094,1
2.0852,2.0343,2.0086,47.5,40,105,0.61738,5
2.0342,1.9833,1.8814,50,80,100,0.53011,1
0.75899,0.73349,0.73346,50,120,150,0.32059,5
3.5387,3.4877,3.2838,67.5,65,55,0.8993,1
4.2532,4.2022,4.1513,42.5,52.5,45,1.1215,1
2.468,2.2637,2.1364,240,77.5,75,0.73753,5
